authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
黑龙江省科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,5
齐齐哈尔市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
周口市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
河南省交通运输厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,交通,5
河南省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,5
漯河市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
承德市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
海南省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,5
贵州省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,5
贵州省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,5
铜仁市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
三江侗族自治县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
南宁市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,5
广西壮族自治区工业和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,5
龙州县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
东莞市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
惠州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
广东省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,5
广东省工业和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,5
广州市科技和信息化局,science_technology,科技创新与科研管理,Science and technology,科技,5
揭阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
河源市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
深圳市科技创新局,science_technology,科技创新与科研管理,Science and technology,科技,5
深圳市龙华区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
甘肃省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,5
厦门市教育局,education_talent,教育与人才培养,Education and talent,教育,5
福州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,5
北京市人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,5
北京市卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,5
北京市海淀区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
北京市通州区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
安徽省农业农村厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,农业,5
中共安徽省委宣传部,public_science_culture,宣传文化与公众科学,Public science and culture,宣传,5
铜陵市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
国家标准化管理委员会,law_regulation_security,法规司法与监管安全,"Law, regulation and security",标准化,5
中国互联网协会,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",互联网协会,5
中国证券监督管理委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,证券监督,5
中国银行保险监督管理委员会(已撤销),macro_finance,宏观规划与财政资源配置,Macro planning and finance,银行保险监督,5
中华全国总工会,public_science_culture,宣传文化与公众科学,Public science and culture,总工会,5
全国妇女联合会,public_science_culture,宣传文化与公众科学,Public science and culture,妇女联合会,5
国务院食品安全委员会,law_regulation_security,法规司法与监管安全,"Law, regulation and security",安全,5
国家海洋局(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,海洋,5
国家金融监督管理总局,macro_finance,宏观规划与财政资源配置,Macro planning and finance,金融,5
国家林业局(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,林业,5
昆明市教育体育局,education_talent,教育与人才培养,Education and talent,教育,5
上海市宝山区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
延安市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
重庆市大数据应用发展管理局,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",大数据,4
重庆市人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,4
中共宁波市委,party_government_general,党政综合与战略协调,Party-government general,中共,4
丽水市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
丽水市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
乐清市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
台州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
宁波市财政局,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,4
平阳县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
杭州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,4
浙江省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,4
浙江省民政厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
浙江省科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,4
海盐县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
温州市洞头区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
龙泉市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
迪庆藏族自治州人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
云南省农业农村厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,农业,4
昆明市人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,4
中共新疆维吾尔自治区委员会,party_government_general,党政综合与战略协调,Party-government general,中共,4
天津市蓟州区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
天津市河东区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
天津市河北区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
天津市和平区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
天津市宝坻区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
天津市工业和信息化局,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,4
天津市科学技术委员会,science_technology,科技创新与科研管理,Science and technology,科学技术,4
天津市西青区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
天津市津南区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
泸州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
上海市国有资产监督管理委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,国有资产,4
上海市静安区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
中共陕西省委,party_government_general,党政综合与战略协调,Party-government general,中共,4
榆林市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,4
